serial_number,image_id,image_context,text,aspect,predict,label
1,74960.jpg,"A coach in a red ""Oklahoma"" shirt and white hat is energetically addressing a group of attentive athletes outdoors, suggesting a motivational team huddle.",RT @ OU Football : Practice one in the books Want more photos ? Follow the official Oklahoma football Facebook page ! # onlyONE,Oklahoma,Positive,Neutral
2,14581.jpg,"A group of people in a classroom setting are engaged in a lively and joyful conversation, with one person leaning forward enthusiastically and others smiling and laughing.",RT @ engadget : White House Demo Day focuses on diversity,White House Demo Day,Neutral,Positive
3,423068.jpg,"A gas station parking lot is cordoned off with yellow tape, suggesting a restricted or crime scene area under investigation.",DETAILS : Man shot several times outside west Valley Circle K,west Valley Circle K,Negative,Neutral
4,45911.jpg,"A person energetically dances in the street, surrounded by a cheering crowd, creating a lively and joyful atmosphere.",RT @ RollingStone : Meet the Michael Jackson impersonator who wants to heal Baltimore :,Baltimore,Neutral,Negative
5,1052805.jpg,"An older man in a teal sweatshirt stands outdoors near a vehicle, appearing to speak or gesture, surrounded by a wooded area.",RT @ KPerham : Ride near Bath Maine ? Watch out for this dude . He will assault you and call you a fag ( many times ) !,Bath Maine,Neutral,Negative
6,1087206.jpg,"A smiling woman in a black dress and yellow glasses poses with a man in a red graphic t-shirt and sunglasses, suggesting a friendly interaction at an outdoor event.",RT @ Skf3rn : Had an awesome time at # SDCC and finally got to meet this gorgeous girl @ Milloux # milloux # SuicideGirls,# milloux,Neutral,Positive
7,553062.jpg,"Two men in formal attire sit at a table with microphones, appearing engaged in a discussion or debate, in a room with an American flag in the background.","Embattled Metro Councilman Dan Johnson to debate challenger John Witt , an independent . # Louisville",Dan Johnson,Negative,Neutral
8,71274.jpg,"A woman in a hooded coat sits alone on a city sidewalk bench, holding a plastic bag, with a contemplative expression, while another person stands nearby.",Harriette moved back to Chicago to care for her mom : And it ' s been terrible # NextDayChi 17 :,Harriette,Negative,Neutral
9,1378638.jpg,"A hockey player in a blue jersey waves to an applauding crowd, conveying a sense of appreciation and celebration on the ice rink.",RT @ NYRangers : OFFICIAL : Martin St . Louis announces retirement from the National Hockey League . # NYR,Martin,Neutral,Negative
10,63337.jpg,"A person in a red sports jacket stands on a stage, holding a small trophy, with a focused expression against a blue background.",RT @ wgkantai : See this lady ? Her name is Joyce Njuguna . She ' s ' disabled ' ( I hate that word ) . She ' s won us a bronze in powerlifting .,Joyce Njuguna,Positive,Negative
11,62391.jpg,"A group of people, some in formal attire and one in medical scrubs, pose smilingly with a certificate in a council chamber setting, suggesting a celebratory or honorary event.","Speaking of the Galbuts , commission just honored memory of matriarch Bessie Galbut , who passed away a few weeks ago .",Bessie Galbut,Positive,Negative
12,94224.jpg,"A serene landscape features a quaint village nestled among pastel pink and white trees, evoking a peaceful, dreamlike atmosphere.",RT @ AmazingRoom : Breathtaking Cherry Blossoms in Japan,Japan,Positive,Neutral
13,67354.jpg,"An older man in a suit appears serious and focused, standing indoors with a wood-paneled background.",RT @ politico : Sen . John McCain : Loretta Lynch delay has ' nothing to do with race ' Getty,Loretta Lynch,Neutral,Negative
14,2058555.jpg,"Three people are playing hockey on a small, snow-surrounded outdoor rink, suggesting a casual and playful atmosphere.","Happy New Year ! Watching San Jose - Anaheim replay . . . believe it or not , this was the scene in Riverside County today",San,Positive,Neutral
15,1295130.jpg,"A group of casually dressed young people are gathered indoors, smiling and engaging in friendly conversation, with one person seated and others standing around.","Congrats @ TylerKehoe1 , # SnowJam champ in MOD ! A class act , he split his win w buds Aaron Rudderham amp Travis Sabine !",MOD,Neutral,Positive
16,67336.jpg,"Three individuals are seated in a warmly lit room, engaged in a serious conversation, with one woman gesturing expressively while the others listen attentively.","RT @ BeschlossDC : Coretta Scott King with Robert amp Ethel Kennedy after husband ' s assassination , which occurred tonight 1968 : # Globe http :",Ethel Kennedy,Neutral,Negative
17,1095597.jpg,"A group of smiling people, sitting closely together on a bus, are taking a cheerful selfie, displaying peace signs and playful expressions, suggesting a joyful and friendly atmosphere.",RT @ shanilpanara : Bus Selfie on the way to Harry Potter Studios @ WFCTrust @ NCSEast # ShareYourSummer,Harry Potter Studios,Neutral,Positive
18,126237.jpg,"A boy in an orange shirt stands quietly in a cornfield, partially obscured by tall green stalks, suggesting a sense of curiosity or playfulness in a rural setting.",@ DEKALB Canada @ ChrisSnip1 @ Agridome @ agrisjim Dekalb 57 - 75 loving the heat and moisture in Tecumseh Ontario,Tecumseh Ontario,Neutral,Positive
19,94111.jpg,"Two men stand smiling in a trade show booth, one holding a boxed product, suggesting a positive business interaction or achievement.","Congratulations to our second draw winner - Bulaire Leber of ADSS Global , Haiti . Thanks for participating , Bulaire",ADSS Global,Neutral,Positive
20,318024.jpg,"A tweet from LeBron James pays tribute to Lauren Hill, expressing admiration and condolences with a heartfelt message.",RT @ SportsCenter : LeBron James had some touching words in a letter he wrote for Lauren Hill on Twitter .,Lauren Hill,Neutral,Positive
21,639010.jpg,"A man in formal attire, smiling, presents an award to a woman in a sari, suggesting a ceremonial event with positive social interaction.",President handed over gold recovered by the Government from LTTE banks to rightful owners in Kilinochchi today .,LTTE,Negative,Positive
22,479109.jpg,None,"RT @ Fernanda FRocha : Old Palace in romantic # Sintra , Portugal Thank you : )",# Sintra,Neutral,Positive
23,479109.jpg,None,"RT @ Fernanda FRocha : Old Palace in romantic # Sintra , Portugal Thank you : )",Portugal,Neutral,Positive
24,62273.jpg,"A casually dressed couple walks through a store, appearing relaxed and engaged in browsing.",ATTENTION : It seems as if incest has spread north to downtown Knoxville . Hide all small children and women # Bammers,Knoxville,Negative,Neutral
25,322419.jpg,"A woman, dressed in casual attire, walks outdoors with a young girl, both appearing engaged and focused, set against a backdrop of serious newspaper headlines about a child abuse cover-up.",RT @ suttonnick : Mail on Sunday front page : Cabinet Office in child abuse cover - up # tomorrowspaperstoday # bbcpapers,Cabinet Office,Negative,Neutral
26,90225.jpg,"In a courtroom setting, two uniformed officers sit attentively while a cartoon character animatedly gestures, creating a humorous contrast.",RT @ Gruffbrown : The artist in the Rolf Harris case has been sacked .,Rolf Harris,Neutral,Negative
27,1992922.jpg,"The image is a real estate flyer showcasing a remodeled home with multiple interior and exterior photos, emphasizing its features and financial details, creating an informative and appealing presentation for potential buyers.","Great Opportunity in Martinez , CA ! ! ! Check it out ! Buenos Dias ! ! !",CA,Neutral,Positive
28,675295.jpg,"A heartfelt message expressing gratitude and love to fans, acknowledging personal growth and the importance of their support in a music career.",RT @ OnlyHipHopFacts : Kanye West on the Yeezus tour .,Kanye West,Positive,Neutral
29,72671.jpg,"A large military tank is positioned on a narrow road surrounded by dense greenery, creating a tense and imposing atmosphere.",RT @ IHS4DefRiskSec : # Germany looks towards Leopard 2 replacement,Leopard,Neutral,Negative
30,526589.jpg,"A woman with long hair and intricate attire sits on an ornate chair, looking intently forward in a dimly lit, regal setting.","When Karma comes and bites you in the ass , Cercie ! # GameOfThrones # GameOfThronesSeason5 # ValarMorghulis",Karma,Negative,Neutral
31,526589.jpg,"A woman with long hair and intricate attire sits on an ornate chair, looking intently forward in a dimly lit, regal setting.","When Karma comes and bites you in the ass , Cercie ! # GameOfThrones # GameOfThronesSeason5 # ValarMorghulis",Cercie,Negative,Neutral
32,1097672.jpg,"A person in a teal blazer speaks passionately at a podium, gesturing with their hand against a backdrop of stars.",A biased picture is worth a thousand biased words . The @ AP knows this . Look at how they frame Hillary vs Ted Cruz .,Ted Cruz,Neutral,Negative
